Force (N),Position (mm),Time (min)
0.00000,0.00000,0.00281
62.3044,0.00406550,0.00407
188.962,0.00603222,0.00534
304.836,0.00834752,0.00661
385.873,0.0118928,0.00787
439.539,0.0167056,0.00914
491.918,0.0205805,0.0104
546.403,0.0254603,0.0117
601.158,0.0303317,0.0129
653.135,0.0343300,0.0142
706.337,0.0394970,0.0155
760.423,0.0442677,0.0167
816.391,0.0486722,0.0180
872.171,0.0530431,0.0193
925.015,0.0572604,0.0205
970.236,0.0623311,0.0218
1007.07,0.0673282,0.0231
1042.83,0.0715866,0.0243
1080.29,0.0774235,0.0256
1122.43,0.0823166,0.0269
1169.23,0.0870275,0.0281
1218.06,0.0916688,0.0294
1267.71,0.0961830,0.0307
1318.47,0.100538,0.0319
1375.34,0.105606,0.0332
1430.92,0.109617,0.0345
1487.87,0.114508,0.0357
1543.98,0.118490,0.0370
1599.45,0.123068,0.0383
1658.49,0.127326,0.0395
1718.50,0.131827,0.0408
1778.62,0.135875,0.0421
1838.99,0.139966,0.0433
1901.55,0.144398,0.0446
1967.73,0.148570,0.0459
2034.05,0.152764,0.0471
2097.22,0.156774,0.0484
2161.33,0.160894,0.0497
2225.87,0.164992,0.0509
2289.01,0.169088,0.0522
2354.55,0.173215,0.0535
2415.77,0.177802,0.0547
2483.10,0.181589,0.0560
2547.92,0.186056,0.0573
2612.68,0.189916,0.0585
2678.06,0.193750,0.0598
2742.13,0.198012,0.0611
2806.24,0.202822,0.0623
2876.57,0.206891,0.0636
2941.66,0.210407,0.0649
3009.04,0.214515,0.0661
3076.47,0.218526,0.0674
3143.41,0.222451,0.0687
3211.90,0.226523,0.0699
3279.15,0.230540,0.0712
3344.94,0.235602,0.0725
3410.48,0.239248,0.0737
3474.72,0.243806,0.0750
3538.65,0.246944,0.0763
3601.60,0.251373,0.0775
3666.28,0.255208,0.0788
3731.78,0.260276,0.0801
3799.04,0.264276,0.0813
3863.02,0.267959,0.0826
3929.36,0.271994,0.0839
3993.99,0.276245,0.0851
4059.70,0.280765,0.0864
