Force (N),Position (mm),Time (min),Engineering Stress,Engineering Strain,True Strain,True Stress
0,0,0.00266,,,,
1.87691,0.00318867,0.00331,0.02389756,0.000637734,0.000637531,0.023912801
4.10097,0.00624272,0.00396,0.052215172,0.001248544,0.001247765,0.052280365
5,0.00922115,0.00461,0.063661977,0.00184423,0.001842531,0.063779385
5,0.0126405,0.00526,0.063661977,0.0025281,0.00252491,0.063822921
5,0.015381,0.00591,0.063661977,0.0030762,0.003071478,0.063857814
5,0.0191198,0.00656,0.063661977,0.00382396,0.003816667,0.063905418
5,0.0221826,0.00721,0.063661977,0.00443652,0.004426708,0.063944415
5,0.0256066,0.00786,0.063661977,0.00512132,0.005108251,0.063988011
5,0.0293109,0.00851,0.063661977,0.00586218,0.005845064,0.064035175
6.66667,0.032165,0.00916,0.084882679,0.006433,0.006412397,0.085428729
6.66667,0.0352174,0.00981,0.084882679,0.00704348,0.007018791,0.085480548
6.66667,0.0390997,0.0105,0.084882679,0.00781994,0.007789523,0.085546456
6.66667,0.0422927,0.0111,0.084882679,0.00845854,0.008422967,0.085600662
6.66667,0.0454757,0.0118,0.084882679,0.00909514,0.009054028,0.085654699
6.66667,0.0485246,0.0124,0.084882679,0.00970492,0.00965813,0.085706458
6.66667,0.0526275,0.0131,0.084882679,0.0105255,0.010470493,0.085776111
6.84273,0.0549793,0.0137,0.087124344,0.01099586,0.010935845,0.088082351
8.33333,0.0583284,0.0144,0.106103253,0.01166568,0.011598161,0.10734102
8.33333,0.0615757,0.015,0.106103253,0.01231514,0.012239926,0.107409929
8.33333,0.0649444,0.0157,0.106103253,0.01298888,0.012905248,0.107481415
9.53571,0.0682339,0.0163,0.121412431,0.01364678,0.013554501,0.123069319
9.08981,0.0710535,0.017,0.115735055,0.0142107,0.014110675,0.117379732
10,0.0741196,0.0176,0.127323954,0.01482392,0.01471512,0.129211395
10.0306,0.0777151,0.0183,0.127713566,0.01554302,0.015423465,0.12969862
12.1113,0.081123,0.0189,0.154205861,0.0162246,0.016094388,0.156707789
13.3333,0.0840817,0.0196,0.169764848,0.01681634,0.016676511,0.172619672
14.5831,0.0870053,0.0202,0.185677796,0.01740106,0.017251395,0.188908787
18.6096,0.0905349,0.0208,0.236944786,0.01810698,0.017945001,0.241235141
24.3432,0.0937807,0.0215,0.309947249,0.01875614,0.018582413,0.315760663
28.5064,0.0966894,0.0221,0.362954758,0.01933788,0.019153279,0.369973533
34.9167,0.0992914,0.0228,0.444573232,0.01985828,0.019663676,0.453401692
43.0828,0.102427,0.0234,0.548547247,0.0204854,0.020278396,0.559784456
57.7976,0.10546,0.0241,0.735901899,0.021092,0.020872643,0.751423542
77.4629,0.107744,0.0247,0.986288275,0.0215488,0.021319907,1.007541604
103.572,0.109896,0.0254,1.318719661,0.0219792,0.021741139,1.347704064
134.611,0.111898,0.026,1.713920484,0.0223796,0.022132851,1.752277338
169.808,0.114632,0.0267,2.162062606,0.0229264,0.022667539,2.211630918
210.238,0.116159,0.0273,2.676833354,0.0232318,0.02296605,2.739021011
253.012,0.118442,0.028,3.221448837,0.0236884,0.023412183,3.297759806
297.152,0.119764,0.0286,3.783456772,0.0239528,0.023670432,3.874081155
345.739,0.121608,0.0293,4.40208567,0.0243216,0.02403054,4.509151436
392.069,0.122939,0.0299,4.991977551,0.0245878,0.024290385,5.114719296
439.639,0.12441,0.0306,5.597657602,0.024882,0.024577484,5.736938519
483.423,0.126335,0.0312,6.155132804,0.025267,0.024953066,6.310654545
515.302,0.128844,0.0319,6.561028839,0.0257688,0.02544238,6.730098679
543.041,0.130798,0.0325,6.914212756,0.0261596,0.02582329,7.095085796
570.16,0.132972,0.0332,7.259502588,0.0265944,0.026246916,7.452564704
596.263,0.135477,0.0338,7.591856307,0.0270954,0.026734819,7.79756069
624.402,0.138213,0.0345,7.950133182,0.0276426,0.027267441,8.169895534
648.448,0.140577,0.0351,8.256296363,0.0281154,0.027727418,8.488425438
672.772,0.142406,0.0358,8.56599915,0.0284812,0.028083151,8.809969085
697.6,0.144993,0.0364,8.882119064,0.0289986,0.028586096,9.139688082
719.737,0.147732,0.0371,9.163976102,0.0295464,0.029118317,9.434738606
746.974,0.14982,0.0377,9.510768357,0.029964,0.02952385,9.79574902
771.944,0.152089,0.0384,9.828696271,0.0304178,0.029964351,10.12766359
797.516,0.154593,0.039,10.15428909,0.0309186,0.030450249,10.46824549
824.111,0.157308,0.0397,10.49290714,0.0314616,0.030976825,10.82303079
850.282,0.159285,0.0403,10.82612667,0.031857,0.031360092,11.17101458
877.319,0.161492,0.041,11.17037244,0.0322984,0.031787773,11.5311576
905.132,0.163906,0.0416,11.52449856,0.0327812,0.032255357,11.90228545
930.906,0.166664,0.0423,11.85266332,0.0333328,0.032789307,12.24774577
958.808,0.168569,0.0429,12.20792261,0.0337138,0.033157949,12.61949808
985.608,0.171158,0.0436,12.54915081,0.0342316,0.033658736,12.97872832
1012.05,0.174163,0.0442,12.88582081,0.0348326,0.034239675,13.33466745
1040.13,0.176035,0.0449,13.24334648,0.035207,0.034601407,13.70960498
1064.69,0.178597,0.0455,13.55605411,0.0357194,0.035096258,14.04026823
1090.87,0.1808,0.0462,13.88938822,0.03616,0.035521572,14.3916285
1115.13,0.182878,0.0468,14.19827614,0.0365756,0.035922588,14.7175866
1138.26,0.185589,0.0475,14.49277644,0.0371178,0.03644552,15.03071642
1160.02,0.187681,0.0481,14.76983337,0.0375362,0.036848864,15.32423679
1180.64,0.190139,0.0488,15.03237536,0.0380278,0.037322567,15.60402352
1200.74,0.192778,0.0494,15.28829651,0.0385556,0.037830902,15.87774595
1222.83,0.195703,0.0501,15.56955512,0.0391406,0.038394025,16.17895685
1242.58,0.197846,0.0507,15.82101993,0.0395692,0.038806397,16.44704504
1264.49,0.200274,0.0514,16.09998672,0.0400548,0.039273404,16.74486847
1286.66,0.202837,0.052,16.38226393,0.0405674,0.039766141,17.04684978
1308.39,0.205406,0.0527,16.65893888,0.0410812,0.040259789,17.34330808
1332.31,0.20776,0.0533,16.96349778,0.041552,0.040711908,17.66836504
1357.01,0.210108,0.054,17.27798795,0.0420216,0.041162672,18.00403664
1381.34,0.212576,0.0546,17.58776713,0.0425152,0.041636255,18.33551456
1409.31,0.215324,0.0553,17.94389223,0.0430648,0.042163303,18.71664236
1435.18,0.21723,0.0559,18.2732793,0.043446,0.042528697,19.06718019
1462.48,0.220046,0.0566,18.62087369,0.0440092,0.043068302,19.44036345
1490.08,0.222067,0.0572,18.97228781,0.0444134,0.043455388,19.81491162
1517.55,0.224634,0.0579,19.32204671,0.0449268,0.043946835,20.19012444
1546.12,0.226436,0.0585,19.68581125,0.0452872,0.04429168,20.57732652
1574.97,0.228676,0.0592,20.05314086,0.0457352,0.044720179,20.97027527
1603.56,0.230981,0.0598,20.41716004,0.0461962,0.04516092,21.36035525
1635.6,0.233611,0.0605,20.82510599,0.0467222,0.045663567,21.79810076
1663.64,0.235302,0.0611,21.18212236,0.0470604,0.045986619,22.17896151
1693.97,0.237772,0.0618,21.56829592,0.0475544,0.046458305,22.59396329
1724.86,0.240765,0.0624,21.96159961,0.048153,0.047029568,23.01911652
1754.96,0.242506,0.0631,22.34484471,0.0485012,0.047361716,23.4285965
1786.16,0.244945,0.0637,22.74209545,0.048989,0.047826843,23.85620797
1818.19,0.24685,0.0644,23.14991408,0.04937,0.048189984,24.29282534
1848.07,0.24876,0.065,23.53035805,0.049752,0.048553946,24.70104043
1882.86,0.251124,0.0657,23.97331809,0.0502248,0.049004236,25.1773732
1911.51,0.253663,0.0663,24.33810122,0.0507326,0.049487635,25.57283638
1944.23,0.255402,0.067,24.7547052,0.0510804,0.049818588,26.01918544
1979.22,0.2573,0.0676,25.20021172,0.05146,0.050179675,26.49701461
2012.66,0.259693,0.0683,25.62598302,0.0519386,0.050634748,26.9569607
2047.57,0.262033,0.0689,26.07047095,0.0524066,0.051079542,27.43673569
2081.55,0.263838,0.0696,26.50311774,0.0527676,0.051422506,27.90162366
2116.17,0.266113,0.0702,26.94391327,0.0532226,0.051854607,28.37793839
2152.47,0.267845,0.0709,27.40609923,0.053569,0.052183448,28.87421656
2186.61,0.270295,0.0715,27.84078321,0.054059,0.052648426,29.34582811
2223.83,0.271984,0.0722,28.31468297,0.0543968,0.05296885,29.85491111
2260.66,0.273778,0.0728,28.78361709,0.0547556,0.053309081,30.35968132
2295.38,0.276045,0.0735,29.22568586,0.055209,0.053738852,30.83920675
2332.31,0.278337,0.0741,29.69589323,0.0556674,0.054173174,31.34898639
2369.12,0.280029,0.0748,30.1645727,0.0560058,0.054493678,31.85396373
